source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[nanoparticles]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[nanoparticles]	factor value[spiked compound]
PXD017052-Sample 33	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-007	run 98	proteomic profiling by mass spectrometer	EXP19003_X1641_A_MSB38098A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1641_A_MSB38098A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	NoSpike
PXD017052-Sample 33	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	NoSpike	1	SP-007	run 99	proteomic profiling by mass spectrometer	EXP19003_X1642_A_MSB38099A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1642_A_MSB38099A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	NoSpike
PXD017052-Sample 34	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-007	run 100	proteomic profiling by mass spectrometer	EXP19003_X1643_A_MSB38100A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1643_A_MSB38100A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	Control
PXD017052-Sample 34	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-007	run 101	proteomic profiling by mass spectrometer	EXP19003_X1644_A_MSB38101A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1644_A_MSB38101A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	Control
PXD017052-Sample 34	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	Control	1	SP-007	run 102	proteomic profiling by mass spectrometer	EXP19003_X1645_A_MSB38102A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1645_A_MSB38102A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	Control
PXD017052-Sample 35	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-007	run 103	proteomic profiling by mass spectrometer	EXP19003_X1646_A_MSB38103A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1646_A_MSB38103A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 35	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-007	run 104	proteomic profiling by mass spectrometer	EXP19003_X1647_A_MSB38104A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1647_A_MSB38104A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 35	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100	1	SP-007	run 105	proteomic profiling by mass spectrometer	EXP19003_X1648_A_MSB38105A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1648_A_MSB38105A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=100
PXD017052-Sample 36	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-007	run 106	proteomic profiling by mass spectrometer	EXP19003_X1649_A_MSB38106A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1649_A_MSB38106A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 36	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-007	run 107	proteomic profiling by mass spectrometer	EXP19003_X1650_A_MSB38107A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1650_A_MSB38107A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 36	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10	1	SP-007	run 108	proteomic profiling by mass spectrometer	EXP19003_X1651_A_MSB38108A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1651_A_MSB38108A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=10
PXD017052-Sample 37	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-007	run 109	proteomic profiling by mass spectrometer	EXP19003_X1652_A_MSB38109A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1652_A_MSB38109A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 37	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-007	run 110	proteomic profiling by mass spectrometer	EXP19003_X1653_A_MSB38110A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1653_A_MSB38110A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 37	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5	1	SP-007	run 111	proteomic profiling by mass spectrometer	EXP19003_X1654_A_MSB38111A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1654_A_MSB38111A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=5
PXD017052-Sample 38	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-007	run 112	proteomic profiling by mass spectrometer	EXP19003_X1655_A_MSB38112A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1655_A_MSB38112A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	1	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 38	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-007	run 113	proteomic profiling by mass spectrometer	EXP19003_X1656_A_MSB38113A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1656_A_MSB38113A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	2	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
PXD017052-Sample 38	Homo Sapiens	Blood plasma	not available	not available	not available	not available	not available	normal	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2	1	SP-007	run 114	proteomic profiling by mass spectrometer	EXP19003_X1657_A_MSB38114A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/08/PXD017052/EXP19003_X1657_A_MSB38114A.raw	1	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	3	NT=Trypsin/P; AC=MS:1001313	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	4.5 ppm	20 ppm	SP-007	SP=Homo sapiens;CT=Mixture;CN=Hemolysate;QY=2
